Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max
Gm17762	NonCoding	0.00834505434003008	249	0.0747972364073295	-45.2128868812129	-40.7060103109854	1.11071771799289	1.6060642177377	0.0328346697221924	3.57657537115262	3.93171132789519	4.66887781936582	62.0637229895367
Gm2824	NonCoding	0.00970990944305727	282	0.0539816232771822	-39.7345545521517	-35.4508408238836	1.12083532093214	8.03213474499127	0.101857633092727	4.726188701295	5.42233536285533	6.44628635066945	34.5750618102745
Snhg15	NonCoding	4.12117323311811e-06	180	0.304054054054054	-64.5862899069526	-58.0118190209619	1.11332985238086	0.890247193298575	0.107291337822479	0.78158826141584	0.890247193298576	0.987038988606738	1.68418883743802
Gm3704	NonCoding	0.014958796439797	345	0.117307038422305	-31.7875048966758	-28.2682431115836	1.12449524263679	1.15100612310802	0.0259936751719361	2.82655926970514	3.14161825903763	3.76841807293995	10.5652679989208
Gm3716	NonCoding	0.00859714407912948	258	0.0898328690807799	-43.5647453380212	-39.1348854941492	1.11319465453743	2.82753373119466	0.0680865115247451	3.2062989299614	3.53634397140796	4.30692046014545	11.2582301819503
1110002L01Rik	NonCoding	0.0540597332662381	315	0.0954545454545455	-34.8239273629441	-31.1991792312003	1.11618088107007	1.4948513137767	0.0308819935505799	3.46583644674118	4.00464736735752	4.54046707851446	10.2147694748223
Gm4221	NonCoding	9.99999999473644e-08	102	0.0788863109048724	-117.996128809557	-106.059091797259	1.11255081304219	1.37300863349773	0.072236420029609	1.39374145420946	1.52836079771177	1.83637000556112	8.38875438793574
Gm4544	NonCoding	2.40763738146299e-06	159	0.123447204968944	-74.0333508951175	-66.5444218131478	1.11254029831378	1.57413824048373	0.0834498541221204	1.35819206618794	1.53216043387905	1.72077829758378	4.63993450058095
AI662270	NonCoding	0.00389883355436449	279	0.198153409090909	-40.1354125201419	-35.7809184719797	1.12169877784362	1.77575520700134	0.0862977893918284	1.41148918779773	1.65004069731123	1.86064588229875	4.35843949124741
Ppp4r1l-ps	NonCoding	0.0597551972148073	297	0.0665024630541872	-37.637172425862	-33.7787897131044	1.11422501355224	3.36555276313844	0.0515710381205294	4.77548399042485	5.44049833130722	6.11895642870867	17.8915289251462
